Tile,Option,Red,Green,Blue
1,0,52,52,52
2,0,88,61,46
3,0,61,58,78
4,0,73,51,36
5,0,52,52,52
6,0,91,30,30
7,0,27,31,42
8,0,31,39,26
9,0,41,28,36
10,0,74,62,12
11,0,46,56,59
12,0,75,32,11
13,0,67,37,37
14,0,15,15,15
15,0,52,43,45
16,0,88,61,46
17,0,27,31,42
18,0,31,39,26
19,0,41,28,36
20,0,15,15,15
21,0,0,0,0
22,0,113,99,99
23,0,38,38,43
24,0,53,39,41
25,0,11,35,62
26,0,21,63,70
27,0,88,61,46
27,1,52,52,52
28,0,81,84,101
29,0,88,23,23
30,0,28,88,23
31,0,78,87,99
32,0,86,17,40
33,0,49,47,83
34,0,69,67,41
35,0,51,51,70
36,0,87,59,55
37,0,69,67,41
38,0,49,57,49
39,0,78,79,73
40,0,85,102,103
41,0,52,50,62
42,0,71,42,44
43,0,73,66,50
44,0,52,52,52
45,0,60,59,51
46,0,48,57,47
47,0,71,77,85
48,0,52,52,52
49,0,52,52,52
50,0,52,52,52
51,0,52,52,52
52,0,52,52,52
53,0,52,52,52
54,0,40,56,50
55,0,49,48,36
56,0,43,33,32
57,0,31,40,49
58,0,48,35,52
59,0,88,61,46
60,0,1,52,20
61,0,55,39,26
62,0,39,33,26
63,0,30,80,48
64,0,53,80,30
65,0,30,80,48
66,0,30,80,48
67,0,53,80,30
68,0,30,80,48
69,0,43,42,68
70,0,30,70,80
71,0,78,105,135
72,0,52,84,12
73,0,190,204,223
74,0,64,62,80
75,0,65,65,35
76,0,20,46,104
77,0,61,13,16
78,0,63,39,26
79,0,51,47,96
80,0,64,62,80
81,0,101,51,51
82,0,77,64,34
83,0,62,38,41
84,0,48,78,93
85,0,54,63,69
86,0,138,73,38
87,0,50,15,8
94,0,32,40,45
95,0,44,41,50
96,0,72,50,77
97,0,78,50,69
98,0,36,45,44
99,0,38,49,50
100,0,32,40,45
101,0,44,41,50
102,0,72,50,77
103,0,78,50,69
104,0,36,45,44
105,0,38,49,50
108,0,138,73,38
109,0,94,25,17
110,0,125,36,122
111,0,51,35,27
112,0,50,15,8
113,0,135,58,0
114,0,65,52,15
115,0,39,42,51
116,0,89,26,27
117,0,126,123,115
118,0,8,50,19
119,0,95,21,24
120,0,17,31,65
121,0,192,173,143
122,0,114,114,131
123,0,136,119,7
124,0,8,72,3
125,0,117,132,82
126,0,100,102,114
127,0,30,118,226
128,0,93,6,102
129,0,64,40,169
130,0,39,34,180
131,0,87,94,125
132,0,6,6,6
133,0,69,72,186
134,0,130,62,16
135,0,22,123,163
136,0,40,86,151
137,0,183,75,15
138,0,83,80,100
139,0,115,65,68
140,0,119,108,81
141,0,59,67,71
142,0,17,172,143
143,0,90,112,105
144,0,62,28,87
146,0,120,59,19
147,0,59,59,59
148,0,229,218,161
149,0,73,59,50
151,0,102,75,34
153,0,255,145,79
154,0,221,79,255
155,0,240,240,247
156,0,79,255,89
157,0,154,83,49
158,0,107,49,154
159,0,85,89,118
160,0,49,154,68
161,0,154,49,77
162,0,49,49,154
163,0,154,148,49
164,0,255,79,79
165,0,79,102,255
166,0,250,255,79
167,0,70,68,51
169,0,5,5,5
170,0,59,39,22
171,0,59,39,22
172,0,163,96,0
173,0,94,163,46
174,0,117,32,59
175,0,20,11,203
176,0,74,69,88
177,0,60,30,30
178,0,111,117,135
179,0,111,117,135
180,0,25,23,54
181,0,25,23,54
182,0,74,71,129
183,0,111,117,135
184,0,25,23,54
185,0,52,52,52
186,0,38,9,66
187,0,149,80,51
188,0,82,63,80
189,0,65,61,77
190,0,64,65,92
191,0,76,53,84
192,0,144,67,52
193,0,149,48,48
194,0,111,32,36
195,0,147,48,55
196,0,97,67,51
197,0,112,80,62
198,0,88,61,46
199,0,127,94,76
200,0,143,50,123
201,0,136,120,131
202,0,219,92,143
203,0,113,64,150
204,0,74,67,60
205,0,60,78,59
206,0,0,54,21
207,0,74,97,72
208,0,40,37,35
209,0,77,63,66
210,0,111,6,6
211,0,88,67,59
212,0,88,87,80
213,0,71,71,67
214,0,76,52,60
215,0,89,48,59
216,0,158,100,64
217,0,62,45,75
218,0,57,14,12
219,0,96,72,133
220,0,67,55,80
221,0,64,37,29
222,0,70,51,91
223,0,51,18,4
224,0,57,55,52
